Win Share,
54,590V,7.044698,
55,99905A,7.090167,
56,974X,7.100518,
57,10E,7.137332,
58,4148A,7.169859,
59,1492V,7.302026,
60,6024B,7.653090,
61,21246C,7.698372,
62,2775B,7.846446,
63,7686A,8.136315,
64,248F,8.275515,
65,1898M,8.383466,
66,1008M,8.406783,
67,8771Y,8.515964,
68,7368W,8.560053,
69,624K,8.692520,
70,355E,9.144989,
71,7776A,9.155690,
72,321A,9.301980,
73,333R,9.383576,
74,311Y,9.875667,
75,33172A,9.928911,
76,1563C,10.256991,
77,1826Z,10.336269,
78,5450A,10.379190,
79,10C,10.382266,
80,2114B,10.411255,
81,8332A,10.468609,
82,1200Z,10.588695,
83,4410C,10.648269,
84,9909B,10.984358,
85,4149G,11.112509,
86,2567X,11.256820,
87,1028B,11.331580,
88,2886B,11.363565,
89,77788J,11.513476,
90,91A,11.570893,
91,2501B,11.596059,
92,5S,11.611117,
93,2360H,11.629157,
94,53D,11.689860,
95,91C,11.720534,
96,6891X,12.161771,
97,12J,12.337616,
98,6291B,12.471342,
99,97371A,12.556391,
100,7232X,13.047781,
101,99451A,13.550480,
102,11950A,13.815439,
103,1045B,14.081227,
104,6793A,14.257382,
105,7776Z,14.298510,
106,288A,14.510154,
107,288C,14.577285,
108,9019R,15.054768,
109,21246J,15.199291,
110,404Z,15.249981,
111,134F,15.326940,
112,4410B,15.461578,
113,7700S,15.583295,
114,1028A,15.697165,
115,5300A,15.724843,
116,134H,15.924332,
117,41364A,15.962803,
118,248A,16.000325,
119,248G,16.106557,
120,2587K,16.165796,
121,288G,16.229772,
122,1064A,16.389586,
123,1115C,16.575107,
124,244D,16.813877,
125,7133B,16.974080,
126,7776B,17.105522,
127,2019B,17.133998,
128,66099A,17.274630,
129,4255A,17.350344,
130,91709A,17.600745,
131,21636A,18.512659,
132,916A,18.721734,
133,3815G,19.326372,
134,2567Y,19.591956,
135,2719C,19.847750,
136,98377F,19.978625,
137,1341W,20.013442,
138,687E,20.089347,
139,53A,20.198935,
140,8601D,20.900402,
141,81N,20.971431,
142,9447A,21.266035,
143,5M,21.361099,
144,99451B,21.838294,
145,7536D,21.853629,
146,1933B,22.525443,
147,9050C,22.526943,
148,244B,22.636075,
149,2398K,24.059658,
150,3815F,24.115146,
151,98377A,24.298846,
152,4255B,24.402129,
153,9411C,24.454308,
154,2567A,24.672975,
155,4825A,24.719389,
156,7870E,24.837067,
157,98377C,24.889109,
158,624P,25.117378,
159,916B,25.244060,
160,5829B,25.904794,
161,9922X,27.029674,
162,12F,27.179233,
163,6891A,27.311919,
164,6024E,28.435333,
165,1563A,28.556743,
166,6219A,28.703471,
167,42368B,29.068060,
168,2477Z,29.127709,
169,2398B,29.238761,
170,80075P,29.339707,
171,21246Z,29.429687,
172,5450C,30.161298,
173,4495P,32.343566,
174,355V,33.825821,
175,9065C,36.226255,
176,1506A,37.316147,
177,9050D,37.656942,
178,7133A,38.893177,
179,333E,39.569791,
180,74624A,44.622500,
181,1064J,60.135122,
Average Share,
1,6135W,74.993093,
2,13800B,73.249068,
3,8675A,70.663099,
4,202Z,70.001572,
5,920C,69.400184,
6,1483B,68.979213,
