Win Share,
58,3018V,7.243581,
59,2360H,7.353681,
60,248F,7.433644,
61,1008M,7.491605,
62,1563C,7.862635,
63,2886B,8.157064,
64,9922Z,8.183689,
65,7422H,8.428879,
66,7776A,8.497624,
67,7686A,8.713516,
68,311Y,8.836706,
69,7368W,8.866016,
70,134J,9.043675,
71,2775B,9.194897,
72,42700A,9.312895,
73,7776Z,9.357549,
74,4149G,9.364820,
75,9909B,9.519660,
76,590V,9.576841,
77,1200Z,9.877489,
78,2567X,9.961075,
79,248A,10.247606,
80,1898M,10.358790,
81,134F,10.454611,
82,5450A,10.559174,
83,4255A,10.597598,
84,91709A,10.601162,
85,404Z,10.673019,
86,333R,10.754516,
87,4410C,10.956519,
88,7776B,11.083415,
89,1826Z,11.093367,
90,321A,11.400385,
91,33172A,11.508135,
92,1045B,11.668665,
93,5S,11.835185,
94,97371A,11.948369,
95,288G,11.959526,
96,3815F,11.993892,
97,288A,12.094420,
98,1028B,12.120316,
99,134H,12.322097,
100,9019R,12.580248,
101,6891X,13.028251,
102,244D,14.020470,
103,6291B,14.050134,
104,53D,14.201635,
105,11950A,14.202337,
106,91A,14.270613,
107,98377F,14.421607,
108,2501B,14.472493,
109,7133B,14.653011,
110,7232X,14.844970,
111,2719C,15.049229,
112,99451A,15.081080,
113,5300A,15.182839,
114,2587K,15.209089,
115,91C,15.736807,
116,3815G,15.756258,
117,77788J,15.880003,
118,2398K,15.947205,
119,4410B,16.090892,
120,1064A,16.151593,
121,41364A,16.193066,
122,12J,16.491522,
123,1028A,16.973508,
124,1115C,17.429458,
125,42368B,17.563722,
126,21246J,18.006016,
127,1341W,18.167384,
128,6891A,18.545672,
129,9447A,18.670225,
130,7536D,18.759178,
131,21636A,18.787426,
132,80075P,19.455042,
133,6793A,19.645555,
134,98377A,20.304491,
135,248G,20.356220,
136,2019B,20.736983,
137,2567A,20.765234,
138,99451B,20.898070,
139,9411C,21.165465,
140,916B,21.253028,
141,53A,21.614873,
142,81N,21.874210,
143,624P,22.600436,
144,8601D,22.785216,
145,6024E,23.062932,
146,5450C,23.362537,
147,66099A,23.661608,
148,1563A,24.061365,
149,244B,24.200945,
150,98377C,24.525621,
151,355V,25.153549,
152,1933B,25.559267,
153,2398B,25.725710,
154,5M,25.738870,
155,4495P,25.862957,
156,916A,26.453004,
157,7870E,26.592984,
158,2567Y,27.917975,
159,2477Z,28.199009,
160,9922X,28.602351,
161,9050C,29.916419,
162,6219A,30.359956,
163,687E,30.455978,
164,5829B,30.616719,
165,9065C,30.886077,
166,4825A,30.974088,
167,12F,30.979012,
168,9050D,31.525635,
169,7133A,33.456982,
170,4255B,33.476381,
171,21246Z,36.002617,
172,74624A,38.367350,
173,333E,40.498497,
174,1506A,43.943329,
175,1064J,59.421184,
Average Share,
1,13800B,69.173580,
2,8675A,67.213526,
3,1483B,66.805182,
4,920C,66.070161,
5,536C,63.130080,
6,323Y,62.966742,
7,17080A,62.885073,
8,2131E,62.885073,
9,6135W,62.558397,
10,2501J,62.476729,
11,4004X,61.578370,
12,7686A,60.598343,
13,1492W,60.271668,
14,98177A,60.271668,
15,2719D,59.944992,
16,202Z,59.781654,
17,1970K,58.474951,
18,2567X,58.311613,
19,2131W,58.311613,
20,4004Y,57.821600,
21,974X,57.821600,
22,355E,57.413255,
23,1859X,57.086579,
24,3018A,56.841573,
25,3141S,56.678235,
26,8110C,56.351559,
27,6302Y,56.188221,
28,2114B,56.024883,
29,8110X,55.698208,
30,4149C,55.698208,
31,10C,55.616539,
32,3815M,55.534870,
33,9922Z,54.799849,
34,8675C,54.228167,
35,2719B,54.146498,
36,244A,53.493147,
37,2886B,53.411478,
38,8771Y,53.084802,
39,2131X,52.839795,
40,1045A,52.758126,
41,1814D,52.594788,
42,4148A,52.594788,
43,288C,52.431451,
44,4911A,51.614761,
45,5W,51.369755,
46,321A,51.369755,
47,1898M,51.288086,
48,500K,50.857468,
49,7536A,50.553065,
50,21246C,50.471396,
51,7133B,49.899714,
52,98725B,49.818045,
53,1859W,49.246363,
54,9909B,49.001356,
55,5S,48.429673,
56,1008M,48.429673,
57,1028B,48.266335,
58,134J,48.266335,
59,40500H,48.184666,
60,7209C,48.184666,
61,323G,48.184666,
62,1492X,48.102998,
63,1563C,47.857991,
64,7368W,47.776322,
65,1492V,47.286308,
66,4410C,47.286308,
67,7422H,46.796295,
68,1115C,46.551288,
69,8332A,46.551288,
70,7776A,46.387950,
71,1200Z,46.387950,
72,288A,46.306281,
73,21000C,45.979605,
74,77788J,45.979605,
75,7232X,45.897937,
76,6024B,45.816268,
77,91A,45.734599,
78,42700A,45.489592,
